"Code","Category","Description","Base Qty","Waste %","Planned Qty","Unit","Notes"
"CONNECTOR","accessory","Microduct Connector","12","0","12","ea",""
"LGX-4U","accessory","LGX Rack 4U","1","0","1","ea",""
"ODF-144","accessory","ODF 144","7","0","7","ea",""
"SP-1X4","accessory","Splitter 1:4","6","0","6","ea",""
"CIVIL-UG-ROUTE","civil","Underground route installation works","816","0","816","m",""
"SUBCAB-22U","node","22U Sub Cabinet","1","0","1","ea",""
"TB-24C","node","24-core Termination Box","4","0","4","ea",""
"TB-48C","node","48-core Termination Box","1","0","1","ea",""
"TB-60C","node","60-core Termination Box","1","0","1","ea",""
"DUCT-12W-7/3.5","route","12-way Microduct 7/3.5","262","5","275.1","m",""
"DUCT-1W-7/3.5","route","1-way Microduct 7/3.5","308","5","323.4","m",""
"DUCT-4W-7/3.5","route","4-way Microduct 7/3.5","246","5","258.3","m",""
"FO-24C","route","24-core Fiber Cable","816","5","856.8","m",""
