"Code","Category","Description","Unit","Quantity","Source"
"CONNECTOR","accessory","Microduct Connector","ea","8","auto"
"ODF-144","accessory","ODF 144","ea","1","auto"
"SP-1X16","accessory","Splitter 1:16","ea","1","auto"
"MH-TEL","node","Telecom Manhole","ea","1","auto"
"SUBCAB-22U","node","22U Sub Cabinet","ea","1","auto"
"TB-24C","node","24-core Termination Box","ea","2","auto"
"TB-48C","node","48-core Termination Box","ea","1","auto"
"DUCT-12W-7/3.5","route","12-way Microduct","m","82","auto"
"DUCT-4W-7/3.5","route","4-way Microduct","m","139","auto"
"FO-24C","route","24-core Fiber Cable","m","82","auto"
